                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9621,                 2.9189,                 3.6248,                0.45325,                0.46356,                0.40135,                0.18923,                 2.4774,                 2.2623,                 2.7059,             0.00066158,             0.00066158,             0.00066158
                      1,                 1.7635,                  1.662,                 2.3717,                0.85814,                0.88172,                0.89075,                0.56796,                 1.2847,                 1.1097,                 1.7155,              0.0013063,              0.0013063,              0.0013063
                      2,                 1.2544,                 1.0159,                 1.7956,                0.91712,                0.89068,                0.92749,                0.70176,                 1.0761,                 1.0738,                 1.4188,              0.0019291,              0.0019291,              0.0019291
                      3,                 1.1119,                0.80298,                 1.6201,                0.93767,                0.94926,                0.94397,                0.71791,                 1.0063,                0.70308,                 1.3589,               0.001901,               0.001901,               0.001901
                      4,                 1.0504,                0.71387,                 1.5369,                0.93685,                0.95112,                0.94179,                 0.7352,                0.87574,                 0.6547,                 1.2771,               0.001901,               0.001901,               0.001901
                      5,                0.99245,                0.67795,                 1.4933,                 0.9318,                0.93268,                0.92734,                0.72625,                0.95418,                0.66506,                 1.3217,               0.001868,               0.001868,               0.001868
                      6,                0.97126,                0.63812,                 1.4699,                0.94493,                0.95157,                0.94421,                0.74537,                0.81876,                0.53926,                 1.1932,               0.001835,               0.001835,               0.001835
                      7,                0.92877,                 0.6114,                 1.4387,                0.95306,                0.95803,                0.94782,                0.76412,                0.79899,                0.51138,                 1.2215,               0.001802,               0.001802,               0.001802
                      8,                0.92405,                0.60039,                 1.4379,                0.94911,                0.95482,                0.94755,                0.74784,                0.86785,                0.50887,                 1.2103,               0.001769,               0.001769,               0.001769
                      9,                0.88728,                0.56735,                 1.3945,                0.94924,                 0.9575,                0.95339,                0.78236,                0.78919,                0.46539,                 1.1615,               0.001736,               0.001736,               0.001736
