                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9621,                 2.9189,                 3.6248,                0.45325,                0.46356,                0.40135,                0.18923,                 2.4774,                 2.2623,                 2.7059,             0.00066158,             0.00066158,             0.00066158
                      1,                 1.7536,                 1.6543,                 2.3728,                0.87961,                0.88969,                 0.9008,                0.64248,                 1.1455,                 1.2728,                 1.5939,              0.0013151,              0.0013151,              0.0013151
                      2,                 1.2486,                 1.0132,                 1.7966,                0.93677,                0.92897,                0.93381,                 0.6895,                 1.2003,                0.90902,                 1.4603,              0.0019554,              0.0019554,              0.0019554
                      3,                 1.1026,                 0.7997,                 1.6211,                0.94256,                0.93911,                0.93917,                0.71868,                 1.0199,                0.65656,                 1.3386,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.0537,                 0.7011,                 1.5349,                0.92854,                0.93494,                0.94447,                0.75113,                0.89945,                0.69321,                 1.2505,              0.0019406,              0.0019406,              0.0019406
                      5,                  1.005,                0.67204,                 1.5045,                0.92183,                0.89299,                0.89948,                0.67481,                 1.0597,                0.74659,                 1.4089,              0.0019208,              0.0019208,              0.0019208
                      6,                0.96868,                0.63459,                 1.4637,                0.95094,                0.94142,                0.93868,                0.75831,                0.79806,                0.62297,                  1.182,               0.001901,               0.001901,               0.001901
                      7,                 0.9312,                0.61737,                 1.4409,                 0.9554,                0.94864,                0.94639,                0.75819,                 0.7992,                0.52552,                 1.1867,              0.0018812,              0.0018812,              0.0018812
                      8,                0.92705,                0.59272,                 1.4314,                0.95368,                0.95295,                0.94848,                0.74552,                0.91701,                0.52573,                 1.2578,              0.0018614,              0.0018614,              0.0018614
                      9,                0.89297,                0.57225,                 1.3988,                0.95411,                0.95295,                0.94564,                0.76285,                0.82833,                0.47414,                 1.1829,              0.0018416,              0.0018416,              0.0018416
                     10,                0.87201,                0.55078,                 1.3811,                0.94584,                 0.9322,                0.92981,                0.71868,                0.85754,                0.69074,                 1.1847,              0.0018218,              0.0018218,              0.0018218
                     11,                0.86129,                0.53376,                 1.3708,                0.94983,                0.94306,                0.94648,                0.74454,                 0.8615,                0.54994,                  1.217,               0.001802,               0.001802,               0.001802
                     12,                0.85971,                0.53084,                 1.3677,                0.94881,                0.95761,                0.94501,                0.76422,                0.80267,                0.46757,                  1.162,              0.0017822,              0.0017822,              0.0017822
                     13,                0.84567,                0.51994,                 1.3587,                0.95341,                0.95344,                0.95028,                0.75985,                0.77241,                0.51705,                 1.1432,              0.0017624,              0.0017624,              0.0017624
                     14,                0.83097,                 0.5159,                 1.3542,                0.95632,                0.95947,                 0.9555,                 0.7894,                0.71295,                0.43674,                  1.117,              0.0017426,              0.0017426,              0.0017426
                     15,                0.83513,                 0.5042,                 1.3553,                  0.954,                 0.9631,                0.95166,                  0.782,                0.72424,                0.45537,                 1.1411,              0.0017228,              0.0017228,              0.0017228
                     16,                0.82795,                0.51302,                 1.3493,                0.95205,                0.96264,                0.95487,                0.78531,                0.71762,                0.45409,                 1.1313,               0.001703,               0.001703,               0.001703
                     17,                0.82095,                0.50189,                 1.3355,                0.96083,                0.96541,                0.96008,                0.79136,                0.75672,                0.43734,                  1.132,              0.0016832,              0.0016832,              0.0016832
                     18,                0.81911,                0.49148,                  1.332,                0.95746,                0.96548,                0.95744,                0.78768,                0.73778,                0.45418,                 1.1226,              0.0016634,              0.0016634,              0.0016634
